cv_mae_cm,cv_max_abs_cm,cv_rmse_cm,fit_metadata,increasing_segments,max_radius_cm,method,min_radius_cm,overshoot_max_cm,roughness
0.0011034482758620538,0.024000000000000063,0.004504786726169834,{'method': 'linear'},0,2.0,linear,1.198,0.0,3.046559374795345e-12
0.0009953550990520078,0.020242320819112772,0.0038294935368241253,{'method': 'pchip'},0,2.0,pchip,1.198,0.0,3.825168258521346e-12
0.0010301270461970805,0.021060000000000176,0.003987405800262304,{'method': 'akima'},41,2.0,akima,1.198,0.0,3.7111548538514074e-12
0.0010115600809687578,0.02097895116998094,0.003942160314725309,{'method': 'cubic_spline'},687,2.0,cubic_spline,1.1978860357145271,0.00011404823997782781,3.968308391495963e-12
0.0009251030779259639,0.01831704894723514,0.00345488673940412,"{'method': 'smooth_spline', 'smoothing_factor': 1.7649388275862067e-12}",870,1.9999996527621533,smooth_spline,1.1978927248717623,0.00010547370444778659,3.8822032303736504e-12
