geometry,latent_factor,L_v_J_kg,rho_d_factor,rho_d_initial_kg_m3,jacobian_relative_error,event_h,event_reached,T_center_3h,T_surface_3h,T_mean_3h,C_center_3h,C_surface_3h,C_mean_3h,min_surface_T_C,time_min_surface_T_h,peak_latent_flux_W_m2,min_net_heat_flux_W_m2,max_heat_rate_balance_error,moisture_balance_error
fixed,0.0,2400000.0,1.0,275.0422535211268,3.4291639430891255e-16,57.5850673968895,True,49.82703719038405,49.87087004387903,49.8497460579999,1.765561074896176,1.0078533662584483,1.3823831223558938,28.0,0.0,0.0,-5.329070518200751e-13,1.1102230246251565e-16,2.220446049250313e-15
fixed,1.0,2400000.0,1.0,275.0422535211268,3.4291639430891255e-16,60.61426407881188,True,30.830289582878404,31.39577420713203,31.113742715718804,2.2742724970677295,0.8851982083434138,1.5842857275126512,10.795120506149587,0.30307132039405943,1336.2406407211267,-1336.2406407211267,3.552713678800501e-15,2.6645352591003757e-15
moving,0.0,2400000.0,1.0,278.7323943661972,5.711448812765782e-16,51.186435661207256,True,49.801474021483656,49.86813898651151,49.835843020737194,2.453757703926582,0.6833861646740212,1.642883796473198,28.0,0.0,0.0,-5.329070518200751e-13,2.220446049250313e-16,6.217248937900877e-15
moving,1.0,2400000.0,1.0,278.7323943661972,5.711448812765782e-16,56.58838366172447,True,31.58769259341535,31.95684760792675,31.770667138958146,2.5470670471765033,0.5438887430820678,1.8392060304797309,14.332464667007308,0.14147095915431115,1354.1684903661971,-1354.1684903661971,3.552713678800501e-15,4.884981308350689e-15
