delta_mean_C,delta_mean_T,label,mean_C_endpoint,mean_T_endpoint
-0.0006542670942935036,-0.13732245385648412,phase_minus_1800,1.3817435607825714,49.712417226075814
0.0001484726083256227,0.036335527093093845,phase_plus_1800,1.3825463004851906,49.88607520702539
0.0004566905735696736,-0.23588571279752557,plateau_minus_1sd,1.3828545184504346,49.61385396713477
-0.00045708152420309567,0.2358921003321015,plateau_plus_1sd,1.3819407463526618,50.0856317802644
-0.0033625773168699524,0.041704387163569834,h_plus_20pct,1.379035250559995,49.89144406709587
0.0049650143290533855,-0.10205697621127996,h_minus_20pct,1.3873628422059183,49.74768270372102
-0.10317143650568572,0.007078003317992909,hm_plus_20pct,1.2792263913711792,49.85681768325029
0.13025545011050466,-0.00904597434660559,hm_minus_20pct,1.5126532779873696,49.84069370558569
0.002311608448942515,-0.048431068916343634,capacity_plus_10pct,1.3847094363258075,49.801308611015955
-0.00029050319029333416,0.009285337606193877,conductivity_plus_10pct,1.3821073246865716,49.85902501753849
-0.018720433817794424,0.0018449779704496905,diffusivity_plus_10pct,1.3636773940590705,49.85158465790275
