geometry,latent_factor,L_v_J_kg,rho_d_factor,rho_d_initial_kg_m3,jacobian_relative_error,event_h,event_reached,T_center_3h,T_surface_3h,T_mean_3h,C_center_3h,C_surface_3h,C_mean_3h,min_surface_T_C,time_min_surface_T_h,peak_latent_flux_W_m2,min_net_heat_flux_W_m2,max_heat_rate_balance_error,moisture_balance_error
fixed,0.0,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,57.58659859435484,True,49.82703279626974,49.87086674334955,49.84974081485921,1.7655436104889097,1.0078501824681563,1.3823952764187029,28.0,0.0,0.0,-5.329070518200751e-13,1.1102230246251565e-16,3.552713678800501e-15
fixed,0.25,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,58.301022611346944,True,44.42802000160128,44.65610056194104,44.54290719296745,1.9024008534124892,0.981285881876002,1.433826176506327,24.74253689693217,0.14575255652836736,334.0601601802817,-334.0601601802817,2.7755575615628914e-17,3.9968028886505635e-15
fixed,0.5,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,59.05047037333732,True,39.466186349257626,39.83613507333346,39.6520421718524,2.039515538615493,0.9505563710894693,1.4856892308186627,20.28143888391522,0.14762617593334332,668.1203203605634,-668.1203203605634,2.220446049250313e-16,4.884981308350689e-15
fixed,0.75,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,59.824875509786445,True,34.94385427552224,35.42346250934547,35.18450913387449,2.1660337853693297,0.9179363321531225,1.5362112553654732,15.512849678860327,0.29912437754893223,1002.1804805408451,-1002.1804805408451,4.440892098500626e-16,1.9984014443252818e-15
fixed,1.0,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,60.61584398853447,True,30.83053344438916,31.395997602174745,31.113960608336903,2.2742771201599252,0.8851887169784849,1.5842998056304842,10.795508137016899,0.30307921994267234,1336.2406407211267,-1336.2406407211267,1.1102230246251565e-16,4.884981308350689e-15
moving,0.0,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,51.18663752302942,True,49.80146767925876,49.868134811092894,49.83583557037658,2.4538309606347566,0.6833738614917133,1.6429044782113829,28.0,0.0,0.0,-5.329070518200751e-13,8.673617379884035e-19,5.329070518200751e-15
moving,0.25,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,52.514720048043024,True,44.303280236149305,44.48285897369703,44.39324038166285,2.504705159173188,0.6413100897751643,1.7009123935042747,25.234879073087868,0.13128680012010757,338.5421225915493,-338.5421225915493,4.440892098500626e-16,3.552713678800501e-15
moving,0.5,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,53.86224940350357,True,39.52138848410535,39.78428075782147,39.65228824765366,2.5304268113564348,0.6045463584589265,1.7525145653224072,21.364372369676495,0.13465562350875893,677.0842451830986,-677.0842451830986,2.220446049250313e-16,5.773159728050814e-15
moving,0.75,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,55.222005528192255,True,35.31879032040217,35.642914230166845,35.479715665475126,2.542189186495521,0.5723112590387706,1.798377074222151,17.727994727880652,0.13805501382048063,1015.6263677746477,-1015.6263677746477,2.220446049250313e-16,6.217248937900877e-15
moving,1.0,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,56.588639249854694,True,31.58803472284273,31.957180737067812,31.770995028195678,2.5471053071266105,0.5438795430837297,1.8392216871900173,14.332883191595805,0.14147159812463672,1354.1684903661971,-1354.1684903661971,5.551115123125783e-17,4.884981308350689e-15
