fit_amplitude,fit_exponent,fit_smoothing_factor,fit_tau_s,mae,max_abs,max_pred,method,min_pred,n_test,n_train,overshoot_area,overshoot_max,rmse,roughness,series
,,,,0.12216666666666676,0.1905000000000001,39.9165,linear,28.596,6,25,0.0,0.0,0.13341070671676505,3.622253129425473e-05,T
,,,,0.15583508625352138,0.20611432767879734,39.874229141376915,pchip,28.62899218539477,6,25,0.0,0.0,0.1614693486849299,5.099323187992476e-05,T
,,,,0.14151060206126864,0.20223301059554188,39.897297049552385,akima,28.62012757201646,6,25,0.0,0.0,0.14778270863674575,5.171293738692407e-05,T
,,,,0.17930926415125134,0.2313825875563822,39.86973927807226,cubic_spline,28.604617438052856,6,25,0.0,0.0,0.18635228971933512,5.162475073725831e-05,T
,,0.7129271539214452,,0.0656844699050912,0.13903012668996695,40.099981099645795,smooth_spline,28.582135140414188,6,25,0.0,0.0,0.07816499624256347,2.1225641494507296e-06,T
26.87939819310843,1.050306366209969,,2550.759472238474,0.043630238040391234,0.10704695742878556,40.07802366381656,stretched_exp,28.51850577405509,6,25,0.0,0.0,0.057243286590176114,2.2040848715508917e-06,T
,,,,4.166666666666555e-05,8.999999999999633e-05,0.031384999999999996,linear,0.02008,6,25,0.0,0.0,5.008326400438812e-05,3.477051460410177e-08,C
,,,,3.914126001475053e-05,7.798311016433274e-05,0.031394124972404965,pchip,0.02007394269572236,6,25,0.0,0.0,4.573680462242094e-05,5.055415284528416e-08,C
,,,,4.441611576613477e-05,9.152027027026569e-05,0.031386173890608875,akima,0.020075833333333334,6,25,0.0,0.0,5.2249077362248864e-05,5.052406546387673e-08,C
,,,,3.7320411064028135e-05,5.96814116132216e-05,0.03142032727089088,cubic_spline,0.02007968141161322,6,25,0.0,0.0,4.1326881965944515e-05,5.073880887359593e-08,C
,,4.432840566000197e-07,,5.072397747991839e-05,0.00011173751785080802,0.0314036447274512,smooth_spline,0.020094648096994495,6,25,0.0,0.0,6.001552296985104e-05,6.930352965030963e-10,C
0.060869647346489406,1.0514291831715228,,6741.2790604523325,4.2863073923235635e-05,0.00011737616643979487,0.03138764853620364,stretched_exp,0.02005348143513145,6,25,0.0,0.0,5.5402015393565514e-05,7.301958503382782e-10,C
