endpoint_s,fit_amplitude,fit_exponent,fit_rmse,fit_smoothing_factor,fit_tau_s,method,overshoot_max,q1_max_abs,q1_rmse,roughness,series
7200.0,,,0.03595613757978329,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
7200.0,,,0.032908384451493064,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
7200.0,,,0.041463119655234325,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
7200.0,,,0.12022921528854567,1.7361476522059074,,smooth_spline,0.0,0.07530417763200603,0.04797444085521605,2.5378628869021334e-06,T
7200.0,22.074958144281528,1.1454403463540856,0.13371036229258676,,1893.87069712403,stretched_exp,0.0,0.2312892923624119,0.14718333864790745,2.8851650767668683e-06,T
9000.0,,,0.026593643118321287,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
9000.0,,,0.032186758762857176,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
9000.0,,,0.02945850980977226,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
9000.0,,,0.03711642906408504,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
9000.0,,,0.13011042078123614,2.5245136928508822,,smooth_spline,0.0,0.11803014353364816,0.07308149467875717,2.847329461028879e-06,T
9000.0,22.014676033018084,1.151964218377929,0.1376165909057757,,1883.9953823971532,stretched_exp,0.0,0.2532368654445101,0.15753727343324392,2.9157898053659837e-06,T
10800.0,,,0.024289972466656696,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
10800.0,,,0.029398585243181743,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
10800.0,,,0.026906670477770667,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
10800.0,,,0.03390122353736965,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
10800.0,,,0.15151451596245186,4.13620659853816,,smooth_spline,0.0,0.0704902027673171,0.055791493358057526,2.7229762921734194e-06,T
10800.0,22.02863767956337,1.1500198306558664,0.14083933654388203,,1886.311211392902,stretched_exp,0.0,0.24621184208549352,0.1543608441151937,2.9076297744772244e-06,T
14400.0,,,0.021050275719900164,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
14400.0,,,0.025477522709977076,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
14400.0,,,0.02331796929943286,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
14400.0,,,0.029379617604886697,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
14400.0,,,0.154408130527116,5.686314160146493,,smooth_spline,0.0,0.1466185017320072,0.09900048401610398,3.043117987589873e-06,T
14400.0,22.014448659766884,1.152179347808192,0.14423743696546767,,1883.9553031001558,stretched_exp,0.0,0.2542028945051733,0.1579092107052144,2.9162834607486717e-06,T
1800.0,,,2.2033698531288924e-05,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
1800.0,,,2.012151134451998e-05,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
1800.0,,,2.298652937310389e-05,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
1800.0,,,1.818140403940127e-05,,,cubic_spline,0.0,5.96814116132216e-05,4.1326881965944515e-05,5.073880887359593e-08,C
1800.0,,,6.538540242081274e-05,4.432840566000197e-07,,smooth_spline,0.0,0.00011173751785080802,6.001552296985104e-05,6.930352965030963e-10,C
1800.0,0.060869647346489406,1.0514291831715228,6.795353735121672e-05,,6741.2790604523325,stretched_exp,0.0,0.00011737616643979487,5.5402015393565514e-05,7.301958503382782e-10,C
3600.0,,,1.5707364880061855e-05,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
3600.0,,,1.4344206451670585e-05,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
3600.0,,,1.6386618146603147e-05,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
3600.0,,,1.2929224267608107e-05,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
3600.0,,,8.26405421331961e-05,3.9492579588000704e-07,,smooth_spline,0.0,0.0001165857471723368,6.023092098299699e-05,6.603700093814403e-10,C
3600.0,0.03778138795566109,1.1304585487961667,0.00011978501047096672,,3697.3278726766553,stretched_exp,0.0,0.000153218671149747,9.824413988506042e-05,1.5125577143527581e-09,C
5400.0,,,1.286019499792321e-05,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
5400.0,,,1.1744127259251998e-05,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
5400.0,,,1.341632452871329e-05,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
5400.0,,,1.0585629513476126e-05,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
5400.0,,,0.00010084488307206061,8.999399049899265e-07,,smooth_spline,0.0,0.00012636911544752424,6.541446207975229e-05,4.3517737749710186e-10,C
5400.0,0.03171914660807289,1.2158936822027064,0.00016525595527289803,,2886.7380331216705,stretched_exp,0.0,0.0002741496489039458,0.00017294404471677728,2.278526197048889e-09,C
7200.0,,,1.1152585587622788e-05,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
7200.0,,,1.0184712162754395e-05,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
7200.0,,,1.1634870824428486e-05,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
7200.0,,,9.180042695073698e-06,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
7200.0,,,0.0001069547248459387,1.3650218139599944e-06,,smooth_spline,0.0,9.772332319345212e-05,5.8336563052938535e-05,4.3263804062614416e-10,C
7200.0,0.030766798410014718,1.2511979384420018,0.0001826944642691398,,2750.841605394819,stretched_exp,0.0,0.0003765607018310045,0.00021749614885529806,2.559353007820358e-09,C
9000.0,,,9.983429980331494e-06,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
9000.0,,,9.117021335351359e-06,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
9000.0,,,1.0415155955834506e-05,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
9000.0,,,8.217674075905212e-06,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
9000.0,,,0.00013297938212596482,2.571047528279952e-06,,smooth_spline,0.0,0.00019786344976708767,0.00012733937205918567,6.977137185511928e-10,C
9000.0,0.030526270323142823,1.265423478067606,0.00018343077765654682,,2714.946046594897,stretched_exp,0.0,0.0004218432272802379,0.0002408990622399733,2.665048207073572e-09,C
10800.0,,,9.118616741080584e-06,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
10800.0,,,8.327260624966424e-06,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
10800.0,,,9.5129445137536e-06,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
10800.0,,,7.505819197302074e-06,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
10800.0,,,0.00013949278171455017,3.3914893834500305e-06,,smooth_spline,0.0,0.00021846659756286427,0.00014712264723272522,8.364131613995223e-10,C
10800.0,0.030545498985957216,1.2642054909189622,0.00018276799850371707,,2717.847848799633,stretched_exp,0.0,0.0004179726875543459,0.00023875812355065817,2.656037456079817e-09,C
14400.0,,,7.902413098546584e-06,,,linear,0.0,8.999999999999633e-05,5.008326400438812e-05,3.477051460410177e-08,C
14400.0,,,7.216604810385718e-06,,,pchip,0.0,7.798311016433274e-05,4.573680462242094e-05,5.055415284528416e-08,C
14400.0,,,8.244147052760639e-06,,,akima,0.0,9.152027027026569e-05,5.2249077362248864e-05,5.052406546387673e-08,C
14400.0,,,6.504723865941691e-06,,,cubic_spline,0.0,5.968141161321813e-05,4.1225104103140224e-05,5.074096999163872e-08,C
14400.0,,,0.00013851014355246218,4.554285743489766e-06,,smooth_spline,0.0,0.00017935892885311694,0.00010872213159383738,5.846604781552566e-10,C
14400.0,0.03045259879170108,1.2737776315840412,0.00018193974881028181,,2703.1678731647544,stretched_exp,0.0,0.0004519994569267237,0.0002579577930058233,2.7214156270791513e-09,C
