geometry,latent_factor,L_v_J_kg,rho_d_factor,rho_d_initial_kg_m3,jacobian_relative_error,event_h,event_reached,T_center_3h,T_surface_3h,T_mean_3h,C_center_3h,C_surface_3h,C_mean_3h,min_surface_T_C,time_min_surface_T_h,peak_latent_flux_W_m2,min_net_heat_flux_W_m2,max_heat_rate_balance_error,moisture_balance_error
fixed,0.0,2400000.0,1.0,275.0422535211268,3.341277827018133e-16,57.57593425758081,True,49.827068071568945,49.870893176251805,49.84978281001119,1.7656826422814442,1.0078757925480897,1.3822980274095478,28.0,0.0,0.0,-3.552713678800501e-13,4.440892098500626e-16,6.661338147750939e-15
fixed,1.0,2400000.0,1.0,275.0422535211268,3.719698180242287e-16,60.604806598490185,True,30.82858375312969,31.39421098720628,31.112218262913586,2.2742411068858575,0.8852646395449415,1.5841872077378818,10.792423748654405,0.30302403299245095,1336.2406407211267,-1336.2406407211267,4.440892098500626e-16,5.773159728050814e-15
moving,0.0,2400000.0,1.0,278.7323943661972,3.4803290728986237e-16,51.18499767950331,True,49.80151943692748,49.86816865872886,49.835895853004644,2.4532556315037053,0.6834722542963474,1.642739049852651,28.0,0.0,0.0,-7.105427357601002e-13,4.440892098500626e-16,9.325873406851315e-15
moving,1.0,2400000.0,1.0,278.7323943661972,4.772346150626842e-16,56.5865708434732,True,31.585298472909095,31.9545156844665,31.76837249355321,2.5468100751362264,0.5439531352010325,1.8390964497000022,14.329534595005455,0.14146642710868298,1354.1684903661971,-1354.1684903661971,2.220446049250313e-16,2.220446049250313e-15
